mot,lemme
clinee,cliner
truvee,trouver
cuntesses,comtesse
nuneins,nonnain
guaitent,guetter
Lunc,long
dunee,donner
caeines,chaîne
atachet,attacher
lient,lier
curreies,courroie
jamelz,gemait
deservit,desservir1
ancïene,ancien
Asemblez,assembler1
Halz,haut
Silvestre,Sylvestre
ceil,celer
forfist,forfaire
otrei,octroi
tendrum,tenir
leials,loyal
resemblast,ressembler
jugeürs,jugeur
escriat,écrier
voeiz,voix
entendez,entendre
Serveie,servir
coillit,cueillir
haür,haïeur
Message,message1
vinc,venir
guarisun,guérison
desfiai,défier
poigneor,poigneur1
tuiz,tous
irums,aller
Sorence,Sorence
dreite,droit2
Vassals,vassal
defendre,défendre1
Getez,jeter
calunje,challenge
asemble,assembler1
desmente,démentir
presente,présent1
Bavier,Bavière
Peitevin,Poitevin
Norman,Normand
Tiedeis,Thiois
Icels,cil
cuntienent,contenir
Laisum,laisser
preium,prier
revereiz,revoir
recuvret,recouvrer
cumbatreit,combattre
graant,créanter
dam,dan
Geifreit,Geoffroy
prium,prier
Vivre,vivre1
gerun,gerun
recuverum,recouvrer
faillid,faillir
enbrunchit,embroncher
caitifs,chétif
Heingre,haingre
eschewid,eschevi
Neirs,noir
Curteisement,courtoisement
dementez,démenter
forsfesist,forfaire
juz,juger
desmentir,démentir
Bons,bon
pleges,pleige
plevissent,plevir
recrerai,recroire
presentet,présenter
recreit,recroire
hostage,otage
bancs,banc
kis,qui1.le
malez,maler
purparlat,pourparler
cunfés,confès
Oent,ouïr
acumuniez,acommuner
offrendes,offrande
calcez,chausser1
Vestent,vêtir
Ceinent,ceindre
enheldees,enheuder
quarters,quartier1
destres,dextre
plurerent,pleurer
pitiet,pitié
lasquent,lâcher
fruissent,froisser
esquassent,escasser
ambdui,ambedeux
Pinabels,Pinabel
detrencher,détrancher
recreiz,recroire
mollez,mouler1
Sustenir,soutenir
parentet,parenté
recrerrai,recroire
reprovet,réprouver1
cumencent,commencer
gemez,gemmer
afinet,affiner1
esprendre,éprendre
josque,jusque
espandut,épandre
Brandit,brandir
Escrient,écrier
pendut,pendre
plaidet,plaider
Danemarche,Danemark
Geifrei,Geoffroy
Willalme,Guillaume
Tert,terdre
afublent,affubler
suavet,suave
Munter,monter
ocisïun,occision
veier,voier
Basbrun,Basbrun
pent,pendre
escapet,échapper
cunfunduz,confondre
altroi,autrui
Aleman,Allemand
Bretun,Breton
moerget,mourir
acoeillent,accueillir
perdicïun,perdition
estendant,étendre1
derumpant,dérompre
Baviere,Bavière
sermuns,sermon
essamples,exemple
Creire,croire
Baptizez,baptiser
marrenes,marraine
linees,lignée
baptizent,baptiser
Truvet,trouver
Chrestïene,chrétien
conoisance,connaissance
Culcez,coucher
sumun,semondre
emperie,empire1
Bire,Bire
Vivien,Vivien
succuras,secourir
Imphe,Imphe
penuse,peineux
Turoldus,Turoldus
declinet,décliner
EST,être1
AUCASIN,Aucassin
NICOLETE,Nicolette
antif,antif
Nicholete,Nicolette
Aucassins,Aucassin
paines,peine
proueces,prouesse
dox,doux
cans,champ
amaladis,amaladir
oit,huit
garis,guérir
resbaudis,resbaudir
OR,or2
DIENT,dire1
CONTENT,conter
FABLENT,fabler
Bougars,Bougard
Valence,Valence
Garin,Garin
Biaucaire,Beaucaire
seux,seul
ajornés,ajourner
bares,barre
cevaliers,chevalier
argoit,ardre
garins,Garin
frales,frêle
Aucasins,Aucassin
damoisiax,damoiseau
tailliés,tailler
ganbes,jambe
caviax,cheveu
blons,blond
menus,menu
recercelés,recerceler
vairs,vair
rians,rire1
traitice,traitif
enteciés,entacher
teces,tache1
soupris,sousprendre
fare,faire
Fix,fils
defenderont,défendre1
mix,mieux
miue,mien
Dix,Dieu
cevalier,chevalier
Nocholete,Nicolette
Nicolete,Nicolette
laise,laisser
acata,acheter
visquens,vicomte
Sarasins,Sarrasin
bautisie,baptiser
fillole,filleule
baceler,bachelier
gaaignera,gagner
fenme,femme
file,fille1
honers,honneur
tresdouce,doux
enploiie,employer
enpereris,empereris
Colstentinoble,Constantinople
entecie,entacher
SE,se1
CANTE,chanter
vex,vouloir
jetee,jeter
Cartage,Carthagène
acatee,acheter
Saisne,Saxon
moullié,moillier
biautés,beauté
esclaire,éclaire
FLABLENT,fabler
Garins,Garin
Biaucare,Beaucaire
Aucassin,Aucassin
traist,traire
visconte,vicomte
filole,filleule
saciés,savoir1
arderai,ardre
porés,pouvoir2
gaegnast,gagner
volentés,volonté
envoierai,envoyer
rices,riche
gardin,jardin
canbre,chambre
aveuc,avec
conpagnie,compagnie
soisté,soisté
seeler,sceller
iscir,issir
vautie,voûtis1
devisse,devise
panturee,peinturer
miramie,miramie
mescine,meschine
crigne,crine
sorcille,sourcille
ainc,ainc
Esgarda,égarder
espanie,épanir
oisax,oiseau
orphenine,orphelin
misse,mettre
haés,haïr
longement,longuement2
mordrir,meurtrir
Avés,avoir1
Saciés,savoir1
faide,faide
arés,avoir1
laisciés,laisser
acatai,acheter
nourie,nourrir
donasce,donner
prendés,prendre
Enseurquetot,ensurquetout
cuideriés,cuider
gaegnié,gagner
asognentee,assoignanter
ariés,avoir1
infer,enfer
enterriés,enterrer
clop,clop
manke,manchet
cropent,crouper
autex,autel1
viés,vieux
creutes,crote
capes,cape1
ereses,esrere
tatereles,taterele
decauc,déchaux
estrumelé,estrumelé
moeurent,mourir
faim,faim
mesaises,mésaise
tornois,tournoi
avoc,avec
argens,argent
herpeor,harpeur1
jogleor,jangleur
arderoit,ardre
tornés,tourner
abosmés,abosmer
douer,douer
degrés,degré
esters,ester
deduis,déduit
borders,bourder
jouers,jouer
baisiers,baiser2
acolers,accoler
adolés,adouler
menés,mener
Entreusque,entruès.que
regretoit,regretter1
qeurent,courir
desfendre,défendre1
borgois,bourgeois
aleoirs,alloir
quariax,carreau
peus,pieu
aguisiés,aiguiser
Entroeusque,entruès.que
asaus,assaut
pleniers,plénier
Biacaire,Beaucaire
deul,deuil
caitis,chétif
maleurox,malheureux
saces,savoir1
desiretés,déshériter
defen,défendre1
aiues,aide1
desfenderont,défendre1
pués,pouvoir2
farre,faire
perdisse,perdre
euses,avoir1
mollier,moillier
venés,venir
couvens,convent
covens,convent
ramaine,ramener
lairés,laisser
parles,parler
baisie,baiser2
octroi,octroyer
baisier,baiser1
ara,avoir1
Garnemens,garnement2
ciers,cher
aparelliés,appareiller1
auberc,haubert
dublier,doublier3
laça,lacer
iaume,heaume
cief,chef
çainst,ceindre
poin,poing
espiel,épieux
andex,ambedeux
sissent,seoir
mervelle,merveille
esperona,éperonner
renge,range
hance,hanche
fornis,fournir
cevaus,cheval
corans,courant
quidiés,cuider
vaces,vache
civres,chèvre
cevax,cheval
prendent,prendre
dessaisisent,dessaisir
mannent,mener
estrousement,estroussément
porparlant,pourparler
creature,créature
çou,ce1
cauperont,couper
arai,avoir1
caupee,couper
siec,seoir
destrir,destrier1
remuans,remuer
caupe,couper
naseus,nasel
puins,poing
senglers,sanglier
cien,chien
asalent,assaillir
navre,navrer
jete,jeter
estroseement,estroussément
galopiax,galopel
penderoit,pendre
mescoisi,méchoisir
enbare,embarrer
estonés,étonner
caï,choir
hiame,heaume
ves,voir1
gerroié,guerroyer1
iestre,être1
acievee,achever
sermonant,sermonner
Ba,ba
oblit,oublier
Enne,enne
covent,couvent
ramenoit,ramener
lairiés,laisser
aroie,avoir1
tenrai,tenir
arderoie,ardre
ment,mentir
Quens,comte
Bailiés,bailler1
afiés,affier1
destorbier,détourber
faciés,faire
gabés,gaber
sarés,savoir1
ciens,chien
doinse,donner
ene,enne
connissiés,connaître
Borgars,Bougard
fac,faire
Enondu,en1.nom.Dieu
pora,pouvoir2
sosterin,souterrain
roisins,raisin
soupe,soupe
maserin,maderin
Limosin,Limousin
esvertin,esvertin
passas,passer1
soulevas,soulever
peliçon,pelisson
ermin,hermin
cemisse,chemise
ganbete,jambette
Doce,doux
venirs,venir
bordirs,bourder
delis,délit2
sentirs,sentir
sousterin,souterrain
FABLOIENT,fabler
caut,chaloir1
coies,coi
series,seri1
feneste,fenêtre
lorseilnol,lossignol
center,chanter
garding,jardin
porpenser,pourpenser
remanroit,remanoir
acusee,accuser
touailes,touaille
noua,noer1
piler,pilier
vesture,vêture
deriere,derrière
escorça,escorcier
rousee,rosée1
caviaus,cheveu
levretes,levrette2
vremelletes,vermeillet
cerisse,cerise
mameletes,mamelette
souslevoient,soulever
fuissent,être1
gauges,gauge
graille,grêle2
peusciés,pouvoir2
enclorre,enclore
margerites,marguerite
ronpoit,rompre
ortex,orteil
gissoient,gésir
menuisse,menuisse
deseure,dessure
droites,droit2
mescinete,meschinette
postic,postis
deffrema,desfermer
isci,issir
faelee,fêler
luis,lieu1
quatist,catir
delés,delez
pilers,pilier
creveure,crevure
anciienne,ancien
dementer,démenter
plaindres,plaindre
plurers,pleurer
gorés,jouir
trestos,trèstous
parentés,parenté
passerai,passer1
regné,régné
caupés,couper
rüés,ruer
honerés,honorer
baisiés,baiser2
acolés,accoler
boutés,bouter1
recomence,recommencer
courecier,courroucer
irés,aller
ariis,avoir1
prenderoit,prendre
meteroit,mettre
asoignenteroit,assoignanter
ariiés,avoir1
atendisse,attendre1
peusce,pouvoir2
atenderoie,attendre1
esquelderoie,escueillir
maisiere,maisière
bisse,biche1
hurteroie,heurter
escerveleroie,écerveler
seusce,savoir1
eusciés,avoir1
amissiés,aimer
Fenme,femme
oume,homme
oeul,oeil
cateron,quarteron
mamele,mamelle
orteil,orteil
cué,cöer
plantee,planter
escargaites,échauguette
desos,dessous
conmandé,commander
ocesissent,occire
maneçoient,menacer
damages,dommage
aperceuscent,apercevoir
preus,preu
saçans,sachant
comencié,commencer
cant,quand
Mescinete,meschinette
ciere,cher
morant,mourir
entens,entendre
souduians,soudoyer1
brans,brant
maneçant,menacer
messeant,messeant
ten,tendre2
benooit,bénir
depeciés,dépecer
rehordés,rehorder
briserai,briser
remain,remanoir
prendera,prendre
ardera,ardre
pules,peuple1
segna,signer
bleçast,blesser
quaissies,casser
escorcies,écorcher
sali,saillir
dose,douze
forceur,forçor
ileuc,illuec
aguisié,aiguiser
jeté,jeter
serpentine,serpentine
ocesiscent,occire
repensa,repenser
remenroit,remener
Jhesum,Jésus
reclamer,réclamer
maïsté,majesté
ramé,ramé
mengeront,manger
alumés,allumer
enbrasés,embraser
mengucent,manger
voisse,aller
dementa,démenter
conmanda,commander
sauvaces,sauvage
soumax,sommeil
dusqu',dusque
iscirent,issir
jeterent,jeter
bos,bois
traien,traire
estendirent,étendre1
missent,mettre
mengoient,manger
esveille,éveiller
pastoriax,pastoureau
enbati,embattre
Damedix,damedieu
benie,bénir
enparlés,emparlé
conissiés,connaître
counisçons,connaître
cacier,chasser
esmari,esmarrir
dehait,deshait
borse,bourse
mehaig,mahaing
pastoriaus,pastoureau
acoilli,accueillir
cemin,chemin
foilli,feuillir1
sentier,sentier
anti,antif
aforkent,affourcher
esprovera,éprouver
garris,jarris
foille,feuille
ainques,ainc
foilles,feuille
buison,buisson
apoiiés,appuyer
puie,puie
souples,souple
demenast,démener
volés,vouloir
cier,cher
Montés,monter
esbanoiier,esbanoyer
oisellon,oiselon
enble,embler
cevauca,chevaucher
estendue,étendre1
mangoient,manger
tresgrant,grand
asanlent,assembler1
pastouret,pastouret
Esmerés,Emeret
Martinés,Martinet
Früelins,Fruelin
Johanés,Jeannot
Robeçons,Robichon
Aubriés,Aubriet
conpaignet,compagnet
Aucasinet,Aucassin
corset,corset
blondet,blondet
vairet,vairet
denerés,deneret
acatrons,acheter
gastelés,gâtelet
gaïnes,gaine
coutelés,coutelet
flaüsteles,flûtelle
cornés,cornet1
maçüeles,maçüele
pipés,pipet
garisse,guérir
eperons,éperon
cançon,chanson
disiés,dire1
Dehait,deshait
cantera,chanter
enne,enne
Os,ouïr
cuerbé,cœur.bieu
canteroie,chanter
mé,mon1
brebis,brebis
herdis,hardi
ossast,oser
canterai,chanter
estiiens,être1
orains,orains
mangiens,manger
quidames,cuider
esclarci,éclaircir
veniés,venir
desisiens,dire1
alissiés,aller
poiiés,pouvoir2
donriiés,donner
covien,convenir
prisse,prendre
caciés,chasser
laiscié,laisser
acuités,acquitter
mos,mon1
cac,chasser
oiel,oeil
reverai,revoir
esparnaiscent,épargner
desronpent,dérompre
nouer,noer1
desu,dessus
costés,côté
suir,suivre
caoit,choir
faitement,faitement
aproçoit,approcher
herbeuse,herbeux
cevaucoit,chevaucher
Grans,grand
mervellex,merveilleux
hidex,hideux
hure,hure1
carbouclee,charboclee
planne,plein
grandisme,grandisme
narines,narine
levres,lèvre
rouges,rouge
carbounee,charbonnée
gaunes,jaune
cauciés,chausser1
housiax,houseau
sollers,soulier
fretés,fretter
tille,tilleul
genol,genou2
afulés,affubler
sorvit,survoir
Nient,néant
plourés,pleurer
Oie,oui
plorés,pleurer
vig,venir
levrer,lévrier
pleur,pleurer
plorastes,pleurer
puant,puissant
prisera,priser1
quinse,quinze
esteroit,être1
luiés,louer2
caçoie,chasser
carue,charrue
Roget,Rouget
mengai,manger
saure,soudre1
keutisele,keutiselle
sacie,sacher
desou,dessous
gaaignerai,gagner
sorrai,soudre1
plouerai,pleurer
longaigne,longaigne1
benois,bénir
maaille,maille2
sol,soudre1
querés,quérir
cevauce,chevaucher
descure,dessure
descenderai,descendre
piere,pierre
efforça,efforcer1
ataca,attacher
souvins,souvin
trau,Trau
conmença,commencer
Estoilete,étoilette
amïete,amiette
s,être1
recaoir,rechoir
fuisse,être1
baiseroie,baiser2
soiiés,être1
entrebaissent,entrebaiser
bleciés,blesser
senc,sentir
portasta,pourtaster
mania,manier1
blances,blanc
porsaca,pourchasser
amans,amant1
fresce,frais2
verdes,vert
loia,lier
cerquier,chercher
trouve,trouver
ocira,occire
Certe,certes
tenront,tenir
baisant,baiser2
acolant,accoler
amorous,amoureux1
baise,baiser2
bouce,bouche1
aillons,aller
vaus,val1
conmencent,commencer
acena,assigner
missen,mettre
tormente,tourmente
estragne,étrange
Torelore,Torelore
gerre,guerre
marceans,marchand
conmanderent,commander
çainte,ceindre
gissoit,gésir
enfent,enfant
gentis,gentil1
alec,aluec
arestit,arrêter
fau,fou1
gis,gésir
conplis,complir
sarai,être1
ancestre,ancêtre
esbaudir,ébaudir
CONTEN,conter
houla,houler1
dervé,desver
batés,battre
putain,putain
gerra,gésir
afié,affier1
canbres,chambre
cevaucierent,chevaucher
poms,pomme
waumonnés,waumoné
ueus,oeuf
esmevella,émerveiller
arestés,arrêter
acoutés,accoter
coumence,commencer
canpel,champel2
aportés,apporter
puns,pomme
waumonés,waumoné
canpegneus,champigneul
canpés,champel2
torble,troubler
gués,gué
prex,preux
FLABENT,fabler
vouriiés,vouloir
venjasse,venger
Aucasssins,Aucassin
conmence,commencer
ociés,occire
Conment,comment2
entrocions,entroccire
cast,chasser
detiegne,détenir
Nichole,Nicole
grasse,gras1
baus,bal1
carole,carole
harpe,harpe1
gigle,gigue
viole,viole
nimpole,nimpole
FLABOIENT,fabler
aisse,aise
estores,estore1
asalirent,assaillir
prissent,prendre
kaitives,chétive
loierent,lier
espartist,espartir
waucrant,vaucrer
cururent,courir
lagan,lagan
fisent,faire
devinrent,devenir
parenté,parenté
quester,quêter
quidoie,cuider
quesisce,quérir
FABLOIEN,fabler
desox,dessous
norie,nourrir
arivee,arriver
astages,étage
amuaffle,amuafle
hastent,hâter
oncor,encore
baissiés,baiser2
esmaiiés,esmayer
preée,préer
fissen,faire
vourent,vouloir
paiiens,païen
porpensa,pourpenser
vieler,vieller
paiien,païen
enbla,embler
herbega,héberger
ciés,chez
oinst,oindre
marounier,marinier
drecierent,dresser
vielant,vieller
oisellons,oiselon
prox,preux
peron,perron1
vïele,vielle
Escoutés,écouter
prous,preux
dongon,donjon
roion,roion1
Doner,donner
dansellon,dancelon
ameor,aimeur
canté,chanter
presist,prendre
voliiés,vouloir
dississçiés,dire1
oseriés,oser
voul,vouloir
atenc,attendre1
eusce,être1
faissiés,faire
viscontesse,vicomtesse
parrins,parrain
gehi,gehir
recounut,reconnaître
uit,huit
cueute,couette1
dementés,démenter
aveuques,avec
mosterai,montrer
duce,doux
longes,longues
Aveuc,avec
recoulli,recueillir
baisse,baiser2
cantefable,chantefable
secuns,second1
liures,livre1
uie,vie
comencent,commencer
capitel,chapitre
secund,second1
liure,livre1
brisiet,briser
tamis,tamis
refermeit,refermer
uencue,vaincre
ampolete,ampoulette
uoire,verre
rumpit,rompre
ensenge,enseigne
moine,moine
uable,wable
remeneiz,remener
haltece,hautesse
VI,six
retornat,retourner
VII,sept
disciple,disciple1
VIII,huit
enfait,infaire
uenin,venin
getteiz,jeter
parmei,parmi
VIIII,neuf2
alegie,alléger
eschernissable,escharnissable
esprendement,esprendement
coisine,cuisine
XI,onze
enfanzon,enfançon
debrisiez,débriser
saneiz,saner
reule,règle
XIII,treize
Valentinien,Valentinien
alsi,aussi
dessore,dessure
XIIII,quatorze
Totile,Totila
deprise,déprendre1
prophetie,prophétie
XVI,seize
turbeilhon,tourbillon
XVII,dix-sept
deliureit,délivrer1
auoit,avoir1
diable,diable
XVIII,dix-huit
destruisement,destruisement
Sabie,Sabie
XVIIII,dix-neuf
flaische,flasque1
embleie,embler
napeles,napele
orgailhouse,orgueilleux
conute,connaître
espir,espir
XXII,vingt-deux
farine,farine
troueit,trouver
deuant,devant
XXIII,vingt-trois
Terracinense,Terracine
ordineie,ordiner
uision,vision
XXIIII,vingt-quatre
anceles,ancelle1
oblation,oblation1
communion,communion
enseuelit,ensevelir
gettat,jeter
XXVI,vingt-six
hainous,häinos
alanz,aller
trouat,trouver
uoie,voie
XXVII,vingt-sept
elefantie,éléphancie
XXVIII,vingt-huit
detteor,detteur
XXVIIII,vingt-neuf
phiole,fiole
getteie,jeter
pieres,pierre
tonel,tonneau
uuid,vider
raemplit,raemplir
oile,huile
XXXI,trente-et-un
deliureiz,délivrer1
XXXII,trente-deux
uilain,vilain
loiet,lier
desloiez,délier
soule,seul
ueue,voir1
XXXIII,trente-trois
resusciteiz,ressusciter
XXXIIII,trente-quatre
Scolastike,Scholastique
anrme,âme
astoit,être1
eissue,issue
XXXVI,trente-six
mund,monde1
colgiez,colliger1
ueske,évêque
citeit,cité
Capuane,Capoue
XXXVII,trente-sept
Ke,que
riule,règle
XXXVIII,trente-huit
annuncie,annoncer
az,à.le
XXXVIIII,trente-neuf
saneie,saner
comencet,commencer
onorable,honorable
Benoiz,Benoît
portat,porter1
uielhar,vieillard
trespassanz,trépasser
constumes,coutume
despitat,dépiter
ia,jà
auoc,avec
useir,user
neiz,naître
lingie,lignée
contreie,contrée
Nursie,Nursie
doneiz,donner
liberaz,libéral
estuides,étude
iceaz,cil
ueoit,voir1
pluisors,plusieurs
aleir,aller
uisces,vice1
retrast,retraire
entreie,entrée
alcune,aucun
auenist,advenir
alaist,aller
trebuchement,trébuchement
Gieres,gieres
despitiez,dépiter
laissie,laisser
soul,seul
desiranz,désirer
conuersation,conversation
Dunkes,donc
sachanment,sachamment
sachanz,savoir1
raconterai,raconter
racontanz,raconter
disciples,disciple1
sauoir,savoir1
Constantin,Constantin
redotable,redoutable
uint,venir
gouernement,gouvernement
alsiment,aussiment
dessoure,dessure
Lateranense,Latran
Simplice,Simplicien
gouernat,gouverner
congregation,congrégation
Honoreit,Honoré
conuersat,converser1
promiers,premier1
iciz,cist
pensat,penser
deserz,désert1
ameuet,aimer
sewit,suivre
astoient,être1
uenut,venir
Effide,Effide
honestes,honnête
cariteit,charité
detenanz,détenir
illokes,illuec
demoreuent,demeurer
glise,église
bieneurous,bienheureux
Perron,Pierre
proiat,prier
uoisines,voisin
prestast,prêter
purgier,purger
frument,froment
queiz,quel
maluoisousement,malvoisosement
auenant,advenir
auenture,aventure
brisat,briser
troueiz,trouver
queil,quel
manes,manois
repairanz,repairer
comenzat,commencer
ploreir,pleurer
uaissel,vaiselle
presteit,prêter
religious,religieux
larmes,larme
leuanz,lever
deleiz,delez
traces,trace1
brisure,brisure
troueies,trouver
confortat,conforter
queile,no_lem
conue,connaître
merueilhe,merveille
maneor,maneur
pendirent,pendre
deuoient,devoir2
uenir,venir
conistroient,connaître
comencie,commencer
illoc,illuec
ioskes,jusque
Lumbars,Lombard
pendit,pendre
huisses,huisse1
lasseiz,lasser
traualz,travail1
bienuoloirs,bienvouloir
sorleueiz,surlever
fuianz,fuir
repunsement,reponsement
secreit,secret
Sublacus,Subiaco
estanz,être1
gettet,jeter
parueables,parvëable
ilokes,illuec
habundance,abondance
colt,cueillir
estendut,étendre1
bruec,bruec
derrains,derrain
deriueie,dériver1
fluet,fluet
demandat,demander
desier,désier
aiue,aide1
ministrat,ministrer
liut,loisir2
paruenanz,parvenir
conuz,connaître
uiuoit,vivre1
lonz,loin
Deudoneit,Dieudonné
houres,heure
piement,piuement
sostraire,soustraire
iors,jour
aparissoit,apparoir
entreteissit,entretistre
clokete,clochette
conistroit,connaître
eissanz,issir
portanz,porter1
refection,réfection
ior,jour
Nequedent,nequedent
cessat,cesser
ministreir,ministrer
mesures,mesure
couenables,convenable
uoloit,vouloir
cesseir,cesser
trauailh,travail1
mostreir,montrer
exemple,exemple
luserne,luiserne
chandeleir,chandelier2
clarteit,clarté
k',que
luiroit,luire1
ceaz,cil
paske,pâques
appareilhie,appareiller1
deniat,daigner
disanz,dire1
apareilhes,appareiller1
delices,délice1
cruciez,crucier
leuat,lever
enhelement,isnellement
sollempniteit,solennité
appareilhiez,appareiller1
falises,falaise
caueies,cavée1
uaz,val1
atapir,atapir
benissant,bénir
seissent,seoir
duz,doux
parlemenz,parlement
uenuz,venir
Lieue,lever
prendons,prendre
deserui,desservir1
ueoir,voir1
sauoit,savoir1
pascale,pascal
sollempniteiz,solennité
affermoit,affermer1
Veritablement,véritablement
pascaz,pascal
resurrection,résurrection
sanior,seigneur
couient,convenir
abstenir,abstenir
poruec,poruec
enuoiez,envoyer
dones,donner
benistrent,bénir
paremplie,paremplir
trouerent,trouver
atapissant,atapir
uirent,voir1
boissons,buisson
uestut,vêtir
peaz,peau
creirent,croire
conissant,connaître
seriant,sergent1
pluisor,plusieurs
eaz,eux
mueit,muer
pieteit,piété
bestial,bestial1
uoisins,voisin
frequenteiz,fréquenter
reporterent,reporter
souz,seul
presenz,présent1
tempteires,tenteur
oiseaz,oiseau
pople,peuple1
apeleiz,appeler
merle,merle
uoleir,voler
engressement,engressement
enchalcier,enchaucier
uiaire,viaire1
uolsist,vouloir
doneit,donner
aleiz,aller
esproueit,éprouver
ueut,voir1
iadiz,jadis
malignes,maligne
espirs,espir
remenat,remener
ensprist,emprendre2
bealteit,beauté
celei,celui
flamme,flamme1
uencuz,vaincre
penseuet,penser
eremitage,ermitage
regardeiz,regarder
souraine,souverain
regardanz,regarder
spes,épais
urties,ortie
roinsses,ronce
trast,traire
uestiment,vêtement
aguilhons,aiguillon
esprendemenz,esprendement
tornoiez,tournoyer
eissit,issir
estinst,éteindre
loisablement,loisablement
uenkit,vaincre
pechiet,pécher
muat,muer
ensprendement,éprendement
donteie,dompter
teile,tel
comencierent,commencer
deguerpir,déguerpir
hasteir,hâter
maisterie,maîtrie
uisce,vice1
uertuz,vertu
Moysen,Moïse
comandeit,commander
Exodo,Exode
Leuite,Levite
doiuent,devoir2
cincantisme,cinquantième
uaisseaz,vaisseau
Pirres,Pierre
Ia,jà
entendemenz,entendement
entreluist,entreluire
nekedent,nequedent
espons,espondre
engueilment,engalement
Gregoires,Grégoire
Cleire,clair1
Pieres,Pierre
iuuente,jouvente
refroidet,refroider
feoz,féal1
ellit,élire
seruir,servir
lasseit,lasser
seruises,service
paisieble,paisible
chalres,chaure
dunkes,donc
deuinent,devenir
anrmes,âme
regehis,rejehir
defermeit,desfermer
doiues,devoir2
parcurre,parcorir
comencies,commencer
iuste,juste1
aleie,aller
spines,épine
getteies,jeter
enhaneie,enhaner
bleif,blé
portablement,portablement
honoreiz,honorer
monstiers,moutier1
assembleie,assemblée
deuroit,devoir2
respitat,répiter
denoiant,dénier
couenir,convenir
assenz,assens
reguleir,réguler
loisoit,loisir2
fleckir,fléchir
loisables,loisable
anzois,ainçois
receut,recevoir
derueiement,desveement
forsenant,forcener
accuseir,accuser
auoient,avoir1
demandeit,demander
torture,torture
hortoit,heurter
ueoient,voir1
loisoir,loisir2
aconstumeies,accoutumer
uiez,vieux
penseir,penser
noueles,nouveau
maluaises,mauvais
mellerent,mêler
uin,venir
morteiz,mortel1
boiures,boire1
solunc,selon
constume,coutume
offerz,offrir
benir,bénir
Enhelement,isnellement
porteir,porter1
plaisible,plaisible
paisible,paisible
apparlat,aparler
uos,vous
uolsistes,vouloir
teiz,tel
conuenroit,convenir
uostres,votre
Aleiz,aller
uoz,votre
quereiz,quérir
poeiz,pouvoir2
auoir,avoir1
repairat,repairer
solteit,seuleté
sourain,souverain
esgardeor,égardeur
ouertement,ouvertement
destrainz,destreindre
conspireuent,conspirer
dissemblanz,dissembler
trespassaist,trépasser
uigor,vigueur
paisibleteit,paisibleté
declinast,décliner
oelh,œil
contemplation,contemplation
laissast,laisser
troueroit,trouver
mouement,mouvement
meneit,mener
ueant,voir1
uaions,voyer3
Disons,dire1
lointaine,lointain
deguastat,déguster
parzon,parçon
aerst,aerdre
citains,citain
paut,paître
uerroit,voir1
leguns,lëun
retorneiz,retourner
lowiz,louer2
porueuz,pourvoir
faiteor,faiteur
porpensanz,pourpenser
depuliat,dépouiller
apostele,apostole
meneiz,mener
cartre,charte
uoirement,voirement
enuoiet,envoyer
deliurat,délivrer1
Erode,Hérode
Iuis,Juif
glacement,glacement
leueit,lever
Poruec,poruec
uaableteit,vagabilité
chait,choir
desloiat,délier
rauit,ravir
extasi,extasie
oeure,œuvre
colhit,cueillir
gardat,garder
deuenz,devenz
closures,closure
ardors,ardeur1
respondes,répondre
deut,devoir2
Alsi,aussi
aesme,aesmer
engueil,engal
maluais,mauvais
auneiz,äunee
alcun,aucun
aidiet,aider
trauaz,travail1
oisous,oiseux
pluisemes,plusemes
uoisin,voisin
ochisons,ochaison
miedre,meilleur
gardeir,garder
parsiwanz,parsuivre
souentes,souvent
parfiz,parfait
trespasseir,trépasser
silence,silence
uont,aller
preechieres,prêcheur
conuoitet,convoiter
uiure,vivre1
Cristus,Christus
gaains,gain1
batailhes,bataille
passions,passion
soulement,seulement
ensprent,emprendre2
Damais,Damas
persecution,persécution
eschapeir,échapper
fun,fun
corbilhe,corbeille
uolt,vouloir
ius,jus2
laissiet,laisser
Paulum,Paul
cremut,crémir
tesmonget,témoigner
Ihesu,Jésus
desireir,désirer
combateres,combatteur
enclostres,encloître
batailhe,bataille
ciz,cist
uolentiers,volontiers
uiz,huis
resuscitat,ressusciter
ensenges,enseigner
manifestations,manifestation
desclarcist,desclarcir
parleirs,parler
tesmoins,témoin
ordene,ordre
narration,narration
creissoit,croître
seruise,service
assembleit,assembler1
iloc,illuec
edifiat,édifier
doze,douze
astalat,astaller
iuiat,juger
couenablement,convenablement
doneir,donner
norrir,nourrir
sperance,espérance
esclates,éclate
Eutitius,Euthicius
Maurum,Maur
Tertullus,Tertullus
patrices,patrice
Placidum,Placide
Maurus,Maur
iouenes,jeune1
ualoit,valoir
aidieres,aideur
Placidus,Placide
enfantins,enfantin
esteir,ester
enuiron,environ
abaissiet,abaisser
alcunes,aucun
terrienes,terrien1
trespassables,trespassable
somons,semondre
abeit,abbé
chosat,choser1
auisonkes,avisonques
somonte,semonte
tierc,tiers
uaier,voyer3
nuncie,noncer
establit,établir
uieng,venir
amenderai,amender
houre,heure
stablie,établir
fineie,finer1
psalmodie,psalmodie
enfezons,enfançon
traoit,traire
fringe,frange
secreiement,secrément
Pompeien,Pompeïanus
ueeiz,voir1
dissent,dire1
Az,à.lequel
Orons,orer
uoiez,voir1
oreit,orer
